volcano_number,volcano_name,eruption_number,eruption_start_year,event_number,event_type,eruption_category,vei,region,primary_volcano_type,tectonic_settings,elevation,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
358020,Calbuco,20861,-8100,151004,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20862,-7990,151005,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20862,-7990,151006,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20862,-7990,151007,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20863,-7930,151008,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20863,-7930,151009,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20863,-7930,151010,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20864,-7550,151011,Explosion,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20864,-7550,151012,Ash,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20864,-7550,151013,Pumice,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20864,-7550,151014,VEI (Explosivity Index),Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20865,-6300,151015,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20865,-6300,151016,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20865,-6300,151017,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20874,-5030,151022,Explosion,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20874,-5030,151023,Pumice,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20874,-5030,151024,Ash,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20874,-5030,151025,VEI (Explosivity Index),Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20875,160,151026,Explosion,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20875,160,151027,Pumice,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20875,160,151028,Ash,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20875,160,151029,VEI (Explosivity Index),Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20876,710,151030,Explosion,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20876,710,151031,Pumice,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20876,710,151032,Ash,Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20876,710,151033,VEI (Explosivity Index),Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
290340,Fuss Peak,20879,1250,151034,Explosion,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20879,1250,151035,Pumice,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20879,1250,151036,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20880,-1590,151037,Explosion,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20880,-1590,151038,Pumice,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20880,-1590,151039,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20881,-1850,151040,Explosion,Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20881,-1850,151041,Pumice,Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20881,-1850,151042,VEI (Explosivity Index),Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20882,-3150,151043,Explosion,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20882,-3150,151044,Pumice,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20882,-3150,151045,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20883,-3850,151046,Explosion,Confirmed Eruption,2.0,,,,,,,,,,,,,
290340,Fuss Peak,20883,-3850,151047,Pumice,Confirmed Eruption,2.0,,,,,,,,,,,,,
290340,Fuss Peak,20883,-3850,151048,VEI (Explosivity Index),Confirmed Eruption,2.0,,,,,,,,,,,,,
290340,Fuss Peak,20884,-5340,151049,Explosion,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20884,-5340,151050,Pumice,Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20884,-5340,151051,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
290340,Fuss Peak,20885,-4850,151052,Explosion,Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20885,-4850,151053,Pumice,Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20885,-4850,151054,VEI (Explosivity Index),Confirmed Eruption,1.0,,,,,,,,,,,,,
290340,Fuss Peak,20886,-5250,151055,Explosion,Confirmed Eruption,2.0,,,,,,,,,,,,,
290340,Fuss Peak,20886,-5250,151056,Pumice,Confirmed Eruption,2.0,,,,,,,,,,,,,
290340,Fuss Peak,20886,-5250,151057,VEI (Explosivity Index),Confirmed Eruption,2.0,,,,,,,,,,,,,
290360,Chikurachki,20888,-1500,151061,Explosion,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20888,-1500,151062,Scoria,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20888,-1500,151063,VEI (Explosivity Index),Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20889,-1750,151064,Explosion,Confirmed Eruption,3.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20889,-1750,151065,Scoria,Confirmed Eruption,3.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20889,-1750,151066,VEI (Explosivity Index),Confirmed Eruption,3.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20890,-1950,151067,Explosion,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20890,-1950,151068,Scoria,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20890,-1950,151069,VEI (Explosivity Index),Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20893,-6310,151073,Explosion,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20893,-6310,151074,Scoria,Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20893,-6310,151075,VEI (Explosivity Index),Confirmed Eruption,4.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20894,-8500,151076,Explosion,Confirmed Eruption,,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20894,-8500,151077,Cinder cone formation,Confirmed Eruption,,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20894,-8500,151078,Lava flow(s),Confirmed Eruption,,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20895,-7550,151079,Explosion,Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20895,-7550,151080,Pyroclastic flow,Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20895,-7550,151081,VEI (Explosivity Index),Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20896,-9360,151082,Explosion,Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20896,-9360,151083,Pumice,Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
290360,Chikurachki,20896,-9360,151084,VEI (Explosivity Index),Confirmed Eruption,2.0,Kuril Islands,Stratovolcano(es),Subduction zone / Continental crust (>25 km),1781.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,65.0,527.0,2492.0
353020,Wolf,20897,1859,151085,Flames,Confirmed Eruption,,,,,,,,,,,,,,
353020,Wolf,20897,1859,151086,Ash,Confirmed Eruption,,,,,,,,,,,,,,
353020,Wolf,20898,1849,151087,Lava flow(s),Confirmed Eruption,0.0,,,,,,,,,,,,,
344020,San Cristobal,20816,2012,151088,Evacuations,Confirmed Eruption,2.0,México and Central America,Stratovolcano,Subduction zone / Continental crust (>25 km),1745.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , ,208.0,7876.0,351227.0,2002579.0
390090,Saunders,13204,2000,151089,Thermal anomaly,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
390090,Saunders,13204,2000,151090,Thermal anomaly,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
390090,Saunders,13204,2000,151091,Thermal anomaly,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
390090,Saunders,13204,2000,151092,Tephra,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
390090,Saunders,13204,2000,151093,Thermal anomaly,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
390090,Saunders,13204,2000,151094,Thermal anomaly,Confirmed Eruption,0.0,Antarctica,Stratovolcano,Subduction zone / Oceanic crust (< 15 km),843.0,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,0.0,0.0,0.0,0.0
355210,"Blanco, Cerro",20904,-2300,151095,Explosion,Confirmed Eruption,7.0,South America,Caldera,Subduction zone / Continental crust (>25 km),4670.0,Rhyolite, , , , ,39.0,39.0,65.0,14279.0
355210,"Blanco, Cerro",20904,-2300,151096,Ash,Confirmed Eruption,7.0,South America,Caldera,Subduction zone / Continental crust (>25 km),4670.0,Rhyolite, , , , ,39.0,39.0,65.0,14279.0
355210,"Blanco, Cerro",20904,-2300,151097,Pyroclastic flow,Confirmed Eruption,7.0,South America,Caldera,Subduction zone / Continental crust (>25 km),4670.0,Rhyolite, , , , ,39.0,39.0,65.0,14279.0
355210,"Blanco, Cerro",20904,-2300,151098,Lava dome formation,Confirmed Eruption,7.0,South America,Caldera,Subduction zone / Continental crust (>25 km),4670.0,Rhyolite, , , , ,39.0,39.0,65.0,14279.0
355210,"Blanco, Cerro",20904,-2300,151099,VEI (Explosivity Index),Confirmed Eruption,7.0,South America,Caldera,Subduction zone / Continental crust (>25 km),4670.0,Rhyolite, , , , ,39.0,39.0,65.0,14279.0
343100,San Miguel,20906,2013,151105,Explosion,Confirmed Eruption,2.0,,,,,,,,,,,,,
343100,San Miguel,20906,2013,151106,Ash,Confirmed Eruption,2.0,,,,,,,,,,,,,
343100,San Miguel,20906,2013,151107,Evacuations,Confirmed Eruption,2.0,,,,,,,,,,,,,
343100,San Miguel,20906,2013,151108,VEI (Explosivity Index),Confirmed Eruption,2.0,,,,,,,,,,,,,
